Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.50923548,149.87030000,149.58950000,149.98020000,150.24260000
-0.50523548,149.73600000,149.68110000,150.09000000,149.97410000
-0.50123548,149.66280000,149.66280000,150.01680000,149.78480000
-0.49723548,149.64450000,149.55290000,149.74210000,149.66280000
-0.49323548,149.79100000,149.42470000,149.76650000,149.75430000
-0.48923548,150.07170000,149.25990000,150.09000000,150.07780000
-0.48523548,150.28530000,149.49190000,150.21820000,150.17550000
-0.48123548,150.41350000,150.10220000,150.15110000,150.07170000
-0.47723548,150.26090000,150.33420000,150.01070000,149.79100000
-0.47323548,149.83980000,150.18160000,149.79100000,149.32100000
-0.46923548,149.62610000,149.99240000,149.62610000,149.44910000
-0.46523548,149.64450000,149.76040000,149.54070000,150.16940000
-0.46123548,149.77870000,149.69940000,149.41860000,150.35250000
-0.45723548,150.04120000,149.82760000,149.25380000,149.99850000
-0.45323548,150.01680000,149.97410000,149.49800000,149.77260000
-0.44923548,149.69330000,150.13890000,150.14500000,149.64450000
-0.44523548,149.54070000,150.19990000,150.19380000,149.79700000
-0.44123548,149.54680000,150.12670000,149.63220000,150.23040000
-0.43723548,149.67500000,150.05950000,149.56510000,150.39520000
-0.43323548,149.93130000,149.95570000,149.98020000,150.27930000
-0.42923548,149.96190000,150.16330000,150.08390000,150.33420000
-0.42523548,149.76650000,150.66990000,149.89470000,150.57220000
-0.42123548,149.63840000,150.76140000,149.68110000,150.40130000
-0.41723548,149.58340000,150.44400000,149.45520000,149.83370000
-0.41323548,149.62000000,150.16940000,149.40030000,149.65060000
-0.40923548,149.74820000,149.93130000,149.54680000,149.83980000
-0.40523548,149.80310000,149.97410000,149.58340000,150.15110000
-0.40123548,149.78480000,150.32200000,149.49800000,150.59050000
-0.39723548,149.81540000,150.32200000,149.51630000,150.56000000
-0.39323548,149.87640000,149.98630000,149.61390000,150.07780000
-0.38923548,149.87640000,149.92520000,149.81540000,149.69330000
-0.38523548,149.82150000,150.13890000,150.10830000,149.41250000
-0.38123548,149.76040000,150.17550000,150.18160000,149.41860000
-0.37723548,149.70550000,150.05340000,150.01070000,149.72990000
-0.37323548,149.68110000,149.96800000,150.06560000,149.96800000
-0.36923548,149.70550000,149.94350000,150.31590000,150.12670000
-0.36523548,149.60780000,149.79700000,150.41350000,150.14500000
-0.36123548,149.37590000,149.53460000,150.35250000,149.99850000
-0.35723548,149.55290000,149.58950000,150.21820000,149.99850000
-0.35323548,150.12670000,149.94960000,150.03510000,150.14500000
-0.34923548,150.26700000,150.17550000,149.68720000,150.12050000
-0.34523548,149.95570000,150.24260000,149.19280000,149.93740000
-0.34123548,149.94960000,150.38300000,149.17450000,149.80930000
-0.33723548,150.22430000,150.56610000,149.64450000,149.72990000
-0.33323548,150.26090000,150.52950000,149.79100000,149.88860000
-0.32923548,150.06560000,150.26700000,149.58340000,150.27310000
-0.32523548,149.94960000,150.20600000,149.75430000,150.32200000
-0.32123548,149.91300000,150.35250000,150.29140000,150.02290000
-0.31723548,149.86420000,150.39520000,150.26700000,150.04730000
-0.31323548,149.83370000,150.35860000,149.69940000,150.39520000
-0.30923548,149.70550000,150.18770000,149.40640000,150.39520000
-0.30523548,149.48580000,149.90690000,149.41860000,150.05950000
-0.30123548,149.63840000,149.73600000,149.30870000,150.00460000
