Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51026801,149.98630000,149.60170000,149.94350000,150.45010000
-0.50626801,149.67500000,149.58340000,149.94960000,149.86420000
-0.50226801,149.58340000,149.65060000,150.10220000,149.58950000
-0.49826801,149.70550000,149.82150000,150.40130000,149.62000000
-0.49426801,149.91300000,149.93130000,150.15720000,149.75430000
-0.49026801,150.21210000,149.96190000,149.36980000,150.01070000
-0.48626801,150.27310000,150.06560000,149.30870000,149.99850000
-0.48226801,150.08390000,150.21210000,149.98630000,149.69940000
-0.47826801,149.90080000,150.38910000,150.19990000,149.77870000
-0.47426801,149.72990000,150.56610000,149.95570000,150.19990000
-0.47026801,149.71770000,150.52950000,149.91910000,150.48070000
-0.46626801,149.89470000,150.26700000,150.09000000,150.62100000
-0.46226801,149.75430000,150.20600000,150.00460000,150.34640000
-0.45826801,149.31480000,150.35250000,149.69330000,149.64450000
-0.45426801,149.16230000,150.40130000,149.57730000,149.52850000
-0.45026801,149.29650000,150.36470000,149.68110000,150.02290000
-0.44626801,149.47970000,150.15720000,149.64450000,150.18770000
-0.44226801,149.68720000,149.79100000,149.46740000,150.07170000
-0.43826801,149.88250000,149.72990000,149.67500000,149.79700000
-0.43426801,150.03510000,149.98630000,150.24870000,149.37590000
-0.43026801,150.11440000,150.16940000,150.33420000,149.28430000
-0.42626801,150.11440000,150.26090000,149.91300000,149.52240000
-0.42226801,150.02290000,150.32200000,149.79100000,149.81540000
-0.41826801,149.83980000,150.35250000,149.95570000,150.12670000
-0.41426801,149.80930000,150.13890000,149.96800000,150.38910000
-0.41026801,149.93740000,149.68720000,149.83370000,150.59660000
-0.40626801,150.03510000,149.69940000,149.77870000,150.35860000
-0.40226801,150.11440000,150.19990000,149.79100000,149.67500000
-0.39826801,149.97410000,150.18160000,149.79100000,149.43690000
-0.39426801,149.62000000,149.66280000,149.79700000,149.65060000
-0.39026801,149.41250000,149.47970000,149.76650000,149.87030000
-0.38626801,149.36370000,149.63840000,149.69940000,150.09610000
-0.38226801,149.45520000,149.70550000,149.72380000,150.17550000
-0.37826801,149.68720000,149.68110000,149.84590000,150.09610000
-0.37426801,149.87030000,149.72380000,149.92520000,150.05340000
-0.37026801,149.98630000,149.80930000,149.96190000,150.05340000
-0.36626801,149.91300000,150.04730000,150.04730000,150.09000000
-0.36226801,149.63220000,150.43790000,150.18770000,150.16940000
-0.35826801,149.65670000,150.37690000,150.10220000,150.11440000
-0.35426801,149.98020000,149.86420000,149.77870000,149.91910000
-0.35026801,150.13890000,149.65670000,149.71770000,149.86420000
-0.34626801,150.15720000,149.77260000,149.92520000,149.93740000
-0.34226801,149.91910000,149.77260000,150.01680000,149.99240000
-0.33826802,149.42470000,149.65670000,150.01070000,150.01680000
-0.33426802,149.30870000,149.87030000,149.95570000,150.16940000
-0.33026802,149.58340000,150.40130000,149.87030000,150.43790000
-0.32626802,149.73600000,150.34030000,149.65670000,150.35250000
-0.32226802,149.76040000,149.68110000,149.30870000,149.93130000
-0.31826802,149.83980000,149.52850000,149.49800000,149.66280000
-0.31426802,149.94960000,149.87640000,150.21820000,149.56510000
-0.31026802,150.01680000,150.03510000,150.30360000,149.60170000
-0.30626802,150.04120000,149.99850000,149.73600000,149.77260000
-0.30226802,149.85810000,150.02290000,149.64450000,149.96190000
