Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51013610,150.17550000,150.12050000,149.70550000,150.17550000
-0.50613610,149.99240000,150.10220000,149.40030000,150.11440000
-0.50213610,149.77870000,150.09610000,149.57730000,149.99850000
-0.49813610,149.55290000,150.08390000,150.23650000,149.84590000
-0.49413610,149.49800000,150.13890000,150.29140000,149.67500000
-0.49013610,149.62610000,150.25480000,149.73600000,149.52850000
-0.48613610,149.74210000,150.30360000,149.63840000,149.40640000
-0.48213610,149.83370000,150.25480000,149.98630000,149.31480000
-0.47813610,149.94960000,150.44400000,150.11440000,149.52240000
-0.47413610,150.07170000,150.87130000,150.04120000,150.00460000
-0.47013610,150.04120000,150.63940000,149.92520000,150.21210000
-0.46613610,149.86420000,149.74820000,149.76040000,150.10830000
-0.46213610,149.74820000,149.53460000,149.65060000,150.03510000
-0.45813610,149.69940000,150.00460000,149.60780000,149.98020000
-0.45413610,149.69330000,150.30980000,149.57730000,149.97410000
-0.45013610,149.73600000,150.43790000,149.56510000,150.00460000
-0.44613610,149.88860000,150.55390000,149.65670000,150.18770000
-0.44213610,150.15720000,150.65770000,149.83980000,150.50510000
-0.43813610,150.09610000,150.39520000,149.88860000,150.50510000
-0.43413610,149.69940000,149.81540000,149.79700000,150.16940000
-0.43013610,149.58340000,149.49190000,149.85200000,150.05340000
-0.42613610,149.73600000,149.44910000,150.04730000,150.16940000
-0.42213610,149.80310000,149.63840000,150.07780000,150.09610000
-0.41813610,149.78480000,150.05950000,149.94350000,149.85200000
-0.41413610,149.80930000,150.20600000,149.87640000,149.70550000
-0.41013610,149.87030000,150.04730000,149.88250000,149.65670000
-0.40613610,149.89470000,149.98020000,149.91910000,149.70550000
-0.40213610,149.88250000,149.98020000,149.98020000,149.84590000
-0.39813610,149.91910000,150.04730000,149.98630000,150.16940000
-0.39413610,149.99850000,150.18160000,149.93740000,150.67600000
-0.39013610,149.91910000,150.12050000,149.82760000,150.63940000
-0.38613610,149.69940000,149.87030000,149.65670000,150.05950000
-0.38213610,149.46130000,149.80310000,149.53460000,149.82150000
-0.37813610,149.20500000,149.93130000,149.45520000,149.94960000
-0.37413610,149.30270000,150.07780000,149.63220000,149.93130000
-0.37013610,149.74820000,150.25480000,150.05950000,149.79100000
-0.36613610,149.89470000,150.27930000,150.20600000,149.77870000
-0.36213610,149.72990000,150.14500000,150.05340000,149.87030000
-0.35813610,149.69330000,150.08390000,149.95570000,150.14500000
-0.35413610,149.76650000,150.10830000,149.90690000,150.59660000
-0.35013610,149.79700000,150.04730000,149.90690000,150.53560000
-0.34613610,149.77870000,149.91300000,149.96190000,149.97410000
-0.34213610,149.83980000,149.95570000,150.02290000,149.63840000
-0.33813610,149.98630000,150.19990000,150.09610000,149.53460000
-0.33413610,149.88860000,149.98630000,150.03510000,149.69330000
-0.33013610,149.52850000,149.30870000,149.83370000,150.13890000
-0.32613610,149.63840000,149.40640000,149.83980000,150.26090000
-0.32213610,150.19990000,150.28530000,150.07780000,150.05340000
-0.31813610,150.46850000,150.37690000,149.96800000,149.89470000
-0.31413610,150.44400000,149.68110000,149.51020000,149.75430000
-0.31013610,150.28530000,149.54070000,149.41250000,149.87640000
-0.30613610,149.98020000,149.92520000,149.66890000,150.25480000
-0.30213610,149.89470000,150.21820000,149.91910000,150.37080000
