Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.50920590,149.70550000,150.04120000,149.65060000,149.83980000
-0.50520590,149.58340000,150.09000000,149.51020000,149.88250000
-0.50120590,149.65670000,150.05340000,149.49800000,149.76650000
-0.49720590,149.93740000,149.91910000,149.60780000,149.50410000
-0.49320590,149.87030000,149.91300000,149.78480000,149.50410000
-0.48920590,149.42470000,150.03510000,150.02290000,149.76650000
-0.48520590,149.57730000,150.13280000,150.05340000,149.89470000
-0.48120590,150.32200000,150.21210000,149.87640000,149.90080000
-0.47720590,150.35250000,150.05950000,149.68720000,149.74210000
-0.47320590,149.66890000,149.66890000,149.47360000,149.41860000
-0.46920590,149.51630000,149.67500000,149.65670000,149.42470000
-0.46520590,149.88250000,150.07170000,150.24870000,149.76040000
-0.46120590,149.96190000,150.19380000,150.30360000,149.84590000
-0.45720590,149.77870000,150.05950000,149.82150000,149.66280000
-0.45320590,149.57730000,149.90080000,149.69330000,149.74210000
-0.44920590,149.35760000,149.69940000,149.92520000,150.06560000
-0.44520590,149.21110000,149.79100000,149.96800000,150.15110000
-0.44120591,149.13780000,150.15720000,149.82150000,150.00460000
-0.43720591,149.32710000,150.33420000,149.79700000,149.94350000
-0.43320591,149.79100000,150.31590000,149.88250000,149.96800000
-0.42920591,149.76040000,150.22430000,149.83370000,149.90690000
-0.42520591,149.21110000,150.04120000,149.68720000,149.76650000
-0.42120591,149.11950000,149.99240000,149.44300000,149.82760000
-0.41720591,149.46740000,150.08390000,149.12560000,150.08390000
-0.41320591,149.58340000,150.03510000,149.18060000,150.14500000
-0.40920591,149.46130000,149.85200000,149.60170000,150.01680000
-0.40520591,149.60780000,149.76040000,149.93130000,149.89470000
-0.40120591,149.99240000,149.77870000,150.17550000,149.77260000
-0.39720591,150.01680000,149.77870000,150.04120000,149.80310000
-0.39320591,149.66890000,149.75430000,149.51630000,149.98630000
-0.38920591,149.60780000,149.87030000,149.42470000,150.09610000
-0.38520591,149.82760000,150.10220000,149.76650000,150.12050000
-0.38120591,149.85810000,150.22430000,149.91910000,150.23650000
-0.37720591,149.71160000,150.22430000,149.87640000,150.43180000
-0.37320591,149.71160000,150.10220000,149.93740000,150.40130000
-0.36920591,149.85200000,149.85200000,150.10220000,150.16330000
-0.36520591,149.84590000,149.80310000,149.92520000,149.98020000
-0.36120591,149.68110000,149.96190000,149.41860000,149.85810000
-0.35720591,149.80930000,149.93740000,149.30270000,149.94960000
-0.35320591,150.23650000,149.76040000,149.57730000,150.24870000
-0.34920591,150.09000000,149.64450000,149.72380000,150.41350000
-0.34520591,149.38810000,149.61390000,149.74210000,150.43790000
-0.34120591,149.18060000,149.55290000,149.87030000,150.14500000
-0.33720591,149.48580000,149.47360000,150.07780000,149.52850000
-0.33320591,149.58340000,149.55290000,150.31590000,149.35760000
-0.32920591,149.49190000,149.76650000,150.57830000,149.63840000
-0.32520591,149.51630000,150.02290000,150.43180000,149.82760000
-0.32120591,149.64450000,150.29760000,149.87030000,149.94350000
-0.31720591,149.66280000,150.40130000,149.62610000,149.90690000
-0.31320591,149.55900000,150.28530000,149.71160000,149.69940000
-0.30920591,149.69940000,150.37690000,149.90080000,149.66280000
-0.30520591,150.07170000,150.67600000,150.19990000,149.77260000
-0.30120591,150.18160000,150.50510000,150.28530000,149.98020000
